Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,3930,438.42,2354,444.8,1576,428.88
21,6203,492.76,3674,502.57,2529,478.51
22,10565,532.31,6301,544.37,4264,514.5
23,15676,573.38,9294,588.89,6382,550.8
24,20680,610.03,12304,630.6,8376,579.81
25,25936,640.26,15069,660.91,10867,611.62
26,30645,663.02,17739,680.73,12906,638.69
27,35099,684.97,20171,703.01,14928,660.59
28,40254,707.82,22528,728.46,17726,681.58
29,45021,731.45,24704,749.35,20317,709.68
30,49979,752.12,26864,768.2,23115,733.42
31,54412,770.29,28687,791.33,25725,746.83
32,56617,785.33,29767,806.8,26850,761.54
33,60006,803.14,30715,826.9,29291,778.24
34,61967,816.76,31665,841.59,30302,790.81
35,65450,829.45,33186,856.2,32264,801.94
36,70514,846.95,35288,878.27,35226,815.57
37,75854,855.2,37895,889.58,37959,820.87
38,84621,867.8,42348,906.13,42273,829.39
39,97384,881.97,48792,922.33,48592,841.46
40,108439,899.17,54619,942.95,53820,854.73
41,113543,909.41,57863,955.98,55680,861.02
42,120202,920.09,61657,969.81,58545,867.73
43,130181,927.5,66727,981.17,63454,871.07
44,143554,939.65,74117,996.82,69437,878.63
45,161626,949.81,82749,1010.94,78877,885.68
46,184978,961.68,94966,1027.46,90012,892.28
47,197112,972.85,101097,1044.51,96015,897.41
48,212233,985.35,108878,1062.19,103355,904.41
49,231147,1002.4,118987,1084.97,112160,914.81
50,248932,1017.29,128836,1106.43,120096,921.66
51,272012,1034.99,141060,1133.66,130952,928.71
52,287263,1052.49,149520,1158.53,137743,937.39
53,308083,1066.17,159890,1180.17,148193,943.17
54,321787,1082.49,166581,1203.6,155206,952.51
55,335117,1101.5,173845,1230.59,161272,962.36
56,356129,1120.6,185618,1256.67,170511,972.47
57,364774,1136.15,190310,1281.83,174464,977.23
58,378193,1151.77,197869,1304.77,180324,983.88
59,389250,1167.47,205565,1327.14,183685,988.78
60,395405,1181.34,210987,1346.73,184418,992.12
61,416567,1194.52,224093,1366.63,192474,994.13
62,430784,1210.82,232521,1393.59,198263,996.47
63,446305,1220.59,242026,1413.54,204279,991.98
64,401447,1217.99,216676,1419.26,184771,981.96
65,338078,1203.86,183283,1407.74,154795,962.46
66 & over,756,1223.57,477,1439.21,279,854.91
Total,8204710,1067.79,4310162,1191.11,3894548,931.3
